airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
MX,"Akron, OH",CAK,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Los Angeles, CA",LAX,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Myrtle Beach, SC",MYR,TRUE,TRUE,,
MX,"Akron, OH",CAK,"New Orleans, LA",MSY,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Sarasota, FL",SRQ,TRUE,TRUE,,
MX,"Akron, OH",CAK,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Akron, OH",CAK,"White Plains, NY",HPN,TRUE,TRUE,,
MX,"Bangor, ME",BGR,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Bangor, ME",BGR,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Bangor, ME",BGR,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Burlington, VT",BTV,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Burlington, VT",BTV,"Jacksonville, FL",JAX,TRUE,TRUE,,
MX,"Burlington, VT",BTV,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Burlington, VT",BTV,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,"Burlington, VT",BTV,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Akron, OH",CAK,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Cincinnati, OH",CVG,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Columbus, OH",CMH,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Long Island / Islip, NY",ISP,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Los Angeles, CA",LAX,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Louisville, KY",SDF,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Manchester, NH",MHT,TRUE,TRUE,,
MX,"Charleston, SC",CHS,New Haven,HVN,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"New Orleans, LA",MSY,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Newburgh, NY",SWF,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Pittsburgh, PA",PIT,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Portland, ME",PWM,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Providence, RI",PVD,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Richmond, VA",RIC,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"San Francisco, CA",SFO,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Syracuse, NY",SYR,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"West Palm Beach, FL",PBI,TRUE,TRUE,,
MX,"Charleston, SC",CHS,"White Plains, NY",HPN,TRUE,TRUE,,
MX,"Charleston, WV",CRW,"Myrtle Beach, SC",MYR,TRUE,TRUE,,
MX,"Charleston, WV",CRW,Newark,EWR,TRUE,TRUE,,
MX,"Charleston, WV",CRW,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Charleston, WV",CRW,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Cincinnati, OH",CVG,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Cincinnati, OH",CVG,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Cincinnati, OH",CVG,"Providence, RI",PVD,TRUE,TRUE,,
MX,"Cincinnati, OH",CVG,"San Diego, CA",SAN,TRUE,TRUE,,
MX,"Cincinnati, OH",CVG,"San Francisco, CA",SFO,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Jacksonville, FL",JAX,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Orange County, CA",SNA,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Providence, RI",PVD,TRUE,TRUE,,
MX,"Columbus, OH",CMH,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,"Dallas, TX",DFW,"Provo / Salt Lake City, UT",PVU,TRUE,TRUE,,
MX,Daytona Beach,DAB,"Hartford, CT",BDL,TRUE,TRUE,,
MX,Daytona Beach,DAB,"Providence, RI",PVD,TRUE,TRUE,,
MX,Daytona Beach,DAB,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,Daytona Beach,DAB,"White Plains, NY",HPN,TRUE,TRUE,,
MX,"Denver, CO",DEN,"Providence, RI",PVD,TRUE,TRUE,,
MX,Erie,ERI,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Evansville, IN",EVV,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Fayetteville, AR",XNA,"New Orleans, LA",MSY,TRUE,TRUE,,
MX,"Fayetteville, AR",XNA,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Fayetteville, AR",XNA,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Akron, OH",CAK,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Bangor, ME",BGR,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Burlington, VT",BTV,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Columbus, OH",CMH,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Lansing, MI",LAN,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Long Island / Islip, NY",ISP,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Louisville, KY",SDF,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Manchester, NH",MHT,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,New Haven,HVN,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"New Orleans, LA",MSY,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Newburgh, NY",SWF,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Pittsburgh, PA",PIT,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Portland, ME",PWM,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Portsmouth, NH",PSM,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Providence, RI",PVD,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Richmond, VA",RIC,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Scranton, PA",AVP,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,South Bend,SBN,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,"Syracuse, NY",SYR,TRUE,TRUE,,
MX,"Fort Myers, FL",RSW,Wilmington,ILM,TRUE,TRUE,,
MX,"Grand Junction, CO",GJT,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Grand Junction, CO",GJT,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Grand Junction, CO",GJT,"Orange County, CA",SNA,TRUE,TRUE,,
MX,"Grand Junction, CO",GJT,"Provo / Salt Lake City, UT",PVU,TRUE,TRUE,,
MX,"Grand Junction, CO",GJT,"San Francisco, CA",SFO,TRUE,TRUE,,
MX,"Greenville, SC",GSP,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Greenville, SC",GSP,"Los Angeles, CA",LAX,TRUE,TRUE,,
MX,"Greenville, SC",GSP,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Greenville, SC",GSP,"Providence, RI",PVD,TRUE,TRUE,,
MX,"Greenville, SC",GSP,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Gulfport, MS",GPT,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Gulfport, MS",GPT,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Akron, OH",CAK,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Cincinnati, OH",CVG,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Columbus, OH",CMH,TRUE,TRUE,,
MX,"Hartford, CT",BDL,Daytona Beach,DAB,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Grand Junction, CO",GJT,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Greenville, SC",GSP,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Jacksonville, FL",JAX,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Los Angeles, CA",LAX,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Myrtle Beach, SC",MYR,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"New Bern, NC",EWN,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"New Orleans, LA",MSY,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Orange County, CA",SNA,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Phoenix, AZ",PHX,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Pittsburgh, PA",PIT,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Richmond, VA",RIC,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"San Diego, CA",SAN,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Sarasota, FL",SRQ,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Savannah, GA",SAV,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"Vero Beach, FL",VRB,TRUE,TRUE,,
MX,"Hartford, CT",BDL,"West Palm Beach, FL",PBI,TRUE,TRUE,,
MX,"Hartford, CT",BDL,Wilmington,ILM,TRUE,TRUE,,
MX,"Huntsville, AL",HSV,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Huntsville, AL",HSV,"Los Angeles, CA",LAX,TRUE,TRUE,,
MX,"Huntsville, AL",HSV,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Huntsville, AL",HSV,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Burlington, VT",BTV,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Columbus, OH",CMH,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Las Vegas, NV",LAS,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Long Island / Islip, NY",ISP,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Los Angeles, CA",LAX,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,New Haven,HVN,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"New Orleans, LA",MSY,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Pittsburgh, PA",PIT,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Portland, ME",PWM,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Providence, RI",PVD,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Raleigh, NC",RDU,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"Richmond, VA",RIC,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"San Diego, CA",SAN,TRUE,TRUE,,
MX,"Jacksonville, FL",JAX,"White Plains, NY",HPN,TRUE,TRUE,,
MX,"Lancaster, PA",LNS,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Lansing, MI",LAN,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Lansing, MI",LAN,"Orlando, FL",MCO,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Akron, OH",CAK,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Fort Myers, FL",RSW,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Grand Junction, CO",GJT,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Gulfport, MS",GPT,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Hartford, CT",BDL,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Huntsville, AL",HSV,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Jacksonville, FL",JAX,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Norfolk, VA",ORF,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Richmond, VA",RIC,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Syracuse, NY",SYR,TRUE,TRUE,,
MX,"Las Vegas, NV",LAS,"Tampa Bay, FL",TPA,TRUE,TRUE,,
MX,"Long Island / Islip, NY",ISP,"Charleston, SC",CHS,TRUE,TRUE,,
MX,"Long Island / Islip, NY",ISP,"Fort Myers, FL",RSW,TRUE,TRUE,,
